"","Disease","Country","Year","Season","monthly_rate_sum","hemisphere","month","era"
"57","RSV","US",2019,"2018/19",7.7,"North Hemisphere",1,"Pre-pandemic"
"58","RSV","US",2020,"2019/20",10.1,"North Hemisphere",1,"Pre-pandemic"
"59","RSV","US",2021,"2020/21",0.8,"North Hemisphere",5,"Post-pandemic"
"60","RSV","US",2021,"2021/22",7.1,"North Hemisphere",11,"Post-pandemic"
"61","RSV","US",2022,"2022/23",21.1,"North Hemisphere",11,"Post-pandemic"
"62","RSV","US",2023,"2023/24",13.7,"North Hemisphere",11,"Post-pandemic"
"63","RSV","Brazil",2018,"2017/18",0.000951626031981334,"South Hemisphere",1,"Pre-pandemic"
"64","RSV","Brazil",2019,"2018/19",0.698828920438035,"South Hemisphere",4,"Pre-pandemic"
"65","RSV","Brazil",2020,"2019/20",0.206851615964224,"South Hemisphere",3,"Pre-pandemic"
"66","RSV","Brazil",2021,"2020/21",0.747458699909062,"South Hemisphere",3,"Post-pandemic"
"67","RSV","Brazil",2022,"2021/22",1.62971668408824,"South Hemisphere",4,"Post-pandemic"
"68","RSV","Brazil",2023,"2022/23",3.05051537953693,"South Hemisphere",5,"Post-pandemic"
