"","Disease","Country","Year","Season","Week_num","hospitalisation_rate","Season_week","hemisphere","Month","era","Mean_peak_cal_week","Median_peak_cal_week","Mean_peak_season_week","Median_peak_season_week","week_diff_median","week_diff_mean"
"42","RSV","England",2017,"2017/18",47,4.06077432632446,27,"North Hemisphere",11,"Pre-pandemic",48.6666666666667,48,28.6666666666667,28,-1,-1.66666666666667
"43","RSV","England",2018,"2018/19",48,4.67497968673706,28,"North Hemisphere",11,"Pre-pandemic",48.6666666666667,48,28.6666666666667,28,0,-0.666666666666668
"44","RSV","England",2019,"2019/20",51,5.27519607543945,31,"North Hemisphere",12,"Pre-pandemic",48.6666666666667,48,28.6666666666667,28,3,2.33333333333333
"45","RSV","England",2021,"2020/21",20,0.073268711566925,52,"North Hemisphere",5,"Post-pandemic",48.6666666666667,48,28.6666666666667,28,24,23.3333333333333
"46","RSV","England",2021,"2021/22",31,2.80400657653809,11,"North Hemisphere",7,"Post-pandemic",48.6666666666667,48,28.6666666666667,28,-17,-17.6666666666667
"47","RSV","England",2022,"2022/23",47,3.1287636756897,27,"North Hemisphere",11,"Post-pandemic",48.6666666666667,48,28.6666666666667,28,-1,-1.66666666666667
"48","RSV","England",2023,"2023/24",48,3.56575846672058,28,"North Hemisphere",11,"Post-pandemic",48.6666666666667,48,28.6666666666667,28,0,-0.666666666666668
"49","RSV","France",2018,"2018/19",52,3.17061216524372,32,"North Hemisphere",12,"Pre-pandemic",52,52,32,32,0,0
"50","RSV","France",2019,"2019/20",52,2.72361267687353,32,"North Hemisphere",12,"Pre-pandemic",52,52,32,32,0,0
"51","RSV","France",2021,"2020/21",13,1.46905127367055,45,"North Hemisphere",3,"Post-pandemic",52,52,32,32,13,13
"52","RSV","France",2021,"2021/22",48,3.04812642965188,28,"North Hemisphere",11,"Post-pandemic",52,52,32,32,-4,-4
"53","RSV","France",2022,"2022/23",49,4.77976353647911,29,"North Hemisphere",11,"Post-pandemic",52,52,32,32,-3,-3
"54","RSV","Türkiye",2018,"2017/18",4,0.0670699955399672,36,"North Hemisphere",1,"Pre-pandemic",5.33333333333333,6,37.3333333333333,38,-2,-1.33333333333334
"55","RSV","Türkiye",2019,"2018/19",6,0.0420900742741894,38,"North Hemisphere",2,"Pre-pandemic",5.33333333333333,6,37.3333333333333,38,0,0.666666666666664
"56","RSV","Türkiye",2020,"2019/20",6,0.0227233689829506,38,"North Hemisphere",2,"Pre-pandemic",5.33333333333333,6,37.3333333333333,38,0,0.666666666666664
"57","RSV","Türkiye",2021,"2020/21",15,0.00118091258397337,47,"North Hemisphere",4,"Post-pandemic",5.33333333333333,6,37.3333333333333,38,9,9.66666666666666
"58","RSV","Türkiye",2021,"2021/22",47,0.0377892026871477,27,"North Hemisphere",11,"Post-pandemic",5.33333333333333,6,37.3333333333333,38,-11,-10.3333333333333
"59","RSV","Türkiye",2022,"2022/23",50,0.042214104944945,30,"North Hemisphere",12,"Post-pandemic",5.33333333333333,6,37.3333333333333,38,-8,-7.33333333333334
"60","RSV","Türkiye",2023,"2023/24",50,0.0337931536678757,30,"North Hemisphere",12,"Post-pandemic",5.33333333333333,6,37.3333333333333,38,-8,-7.33333333333334
"61","RSV","US",2019,"2018/19",1,1.8,33,"North Hemisphere",1,"Pre-pandemic",1,1,33,33,0,0
"62","RSV","US",2020,"2019/20",1,2.7,33,"North Hemisphere",1,"Pre-pandemic",1,1,33,33,0,0
"63","RSV","US",2021,"2020/21",20,0.2,52,"North Hemisphere",5,"Post-pandemic",1,1,33,33,19,19
"64","RSV","US",2021,"2021/22",48,1.3,28,"North Hemisphere",12,"Post-pandemic",1,1,33,33,-5,-5
"65","RSV","US",2022,"2022/23",45,5,25,"North Hemisphere",11,"Post-pandemic",1,1,33,33,-8,-8
"66","RSV","US",2023,"2023/24",50,3.5,30,"North Hemisphere",12,"Post-pandemic",1,1,33,33,-3,-3
