"Country","Disease","Year","Season","Week_num","hospitalisation_rate","Season_week","hemisphere","Month","flag_postcovid","PostCOVID","Precovid_mean_season_week","Difference_compared_to_precovid"
"Türkiye","Influenza",2020,"2019/20",3,0.106441044,37,"North Hemisphere",1,FALSE,FALSE,37,0
"Türkiye","Influenza",2022,"2021/22",2,0.077392526,36,"North Hemisphere",1,TRUE,FALSE,37,-1
"Türkiye","Influenza",2023,"2022/23",2,0.058264058,36,"North Hemisphere",1,TRUE,FALSE,37,-1
"Türkiye","Influenza",2024,"2023/24",1,0.013943532,35,"North Hemisphere",1,TRUE,FALSE,37,-2
"Türkiye","RSV",2018,"2017/18",4,0.067069996,38,"North Hemisphere",1,FALSE,FALSE,39.3333333333333,-1.33333333333334
"Türkiye","RSV",2019,"2018/19",6,0.042090074,40,"North Hemisphere",2,FALSE,FALSE,39.3333333333333,0.666666666666664
"Türkiye","RSV",2020,"2019/20",6,0.022723369,40,"North Hemisphere",2,FALSE,FALSE,39.3333333333333,0.666666666666664
"Türkiye","RSV",2021,"2020/21",15,0.001180913,49,"North Hemisphere",4,TRUE,FALSE,39.3333333333333,9.66666666666666
"Türkiye","RSV",2021,"2021/22",47,0.037789203,29,"North Hemisphere",11,TRUE,FALSE,39.3333333333333,-10.3333333333333
"Türkiye","RSV",2022,"2022/23",50,0.042214105,32,"North Hemisphere",12,TRUE,FALSE,39.3333333333333,-7.33333333333334
"Türkiye","RSV",2023,"2023/24",50,0.033793154,32,"North Hemisphere",12,TRUE,FALSE,39.3333333333333,-7.33333333333334
"US","Influenza",2018,"2017/18",1,10.2,35,"North Hemisphere",NA,FALSE,FALSE,40,-5
"US","Influenza",2019,"2018/19",11,5.5,45,"North Hemisphere",NA,FALSE,FALSE,40,5
"US","Influenza",2020,"2019/20",6,6,40,"North Hemisphere",NA,FALSE,FALSE,40,0
"US","Influenza",2022,"2021/22",16,1.2,50,"North Hemisphere",NA,TRUE,FALSE,40,10
"US","Influenza",2022,"2022/23",48,8.7,30,"North Hemisphere",NA,TRUE,FALSE,40,-10
"US","Influenza",2023,"2023/24",52,7.9,34,"North Hemisphere",NA,TRUE,FALSE,40,-6
"US","RSV",2019,"2018/19",1,1.8,35,"North Hemisphere",1,FALSE,FALSE,35,0
"US","RSV",2020,"2019/20",1,2.7,35,"North Hemisphere",1,FALSE,FALSE,35,0
"US","RSV",2021,"2020/21",14,0.1,48,"North Hemisphere",4,TRUE,FALSE,35,13
"US","RSV",2021,"2021/22",48,1.3,30,"North Hemisphere",12,TRUE,FALSE,35,-5
"US","RSV",2022,"2022/23",45,5,27,"North Hemisphere",11,TRUE,FALSE,35,-8
"US","RSV",2023,"2023/24",50,3.5,32,"North Hemisphere",12,TRUE,FALSE,35,-3
