"","start_week","week_num","year","age_group","n"
"129",2019-06-03,23,2019,"50-64",12
"130",2019-06-03,23,2019,"65+",15
"131",2019-06-10,24,2019,"<1",54
"132",2019-06-10,24,2019,"1-4",45
"133",2019-06-10,24,2019,"5-17",59
"134",2019-06-10,24,2019,"18-49",13
"135",2019-06-10,24,2019,"50-64",5
"136",2019-06-10,24,2019,"65+",10
"137",2019-06-17,25,2019,"<1",40
"138",2019-06-17,25,2019,"1-4",38
"139",2019-06-17,25,2019,"5-17",35
"140",2019-06-17,25,2019,"18-49",16
"141",2019-06-17,25,2019,"50-64",4
"142",2019-06-17,25,2019,"65+",10
"143",2019-06-24,26,2019,"<1",39
"144",2019-06-24,26,2019,"1-4",35
"145",2019-06-24,26,2019,"5-17",31
"146",2019-06-24,26,2019,"18-49",14
"147",2019-06-24,26,2019,"50-64",5
"148",2019-06-24,26,2019,"65+",6
"149",2019-07-01,27,2019,"<1",27
"150",2019-07-01,27,2019,"1-4",18
"151",2019-07-01,27,2019,"5-17",30
"152",2019-07-01,27,2019,"18-49",7
"153",2019-07-01,27,2019,"50-64",6
"154",2019-07-01,27,2019,"65+",9
"155",2019-07-08,28,2019,"<1",22
"156",2019-07-08,28,2019,"1-4",21
"157",2019-07-08,28,2019,"5-17",16
"158",2019-07-08,28,2019,"18-49",4
"159",2019-07-08,28,2019,"50-64",4
"160",2019-07-08,28,2019,"65+",6
"161",2019-07-15,29,2019,"<1",14
"162",2019-07-15,29,2019,"1-4",22
"163",2019-07-15,29,2019,"5-17",15
"164",2019-07-15,29,2019,"65+",5
"165",2019-07-22,30,2019,"<1",9
"166",2019-07-22,30,2019,"1-4",20
"167",2019-07-22,30,2019,"5-17",12
"168",2019-07-22,30,2019,"18-49",3
"169",2019-07-22,30,2019,"50-64",1
"170",2019-07-22,30,2019,"65+",2
"171",2019-07-29,31,2019,"<1",6
"172",2019-07-29,31,2019,"1-4",8
"173",2019-07-29,31,2019,"5-17",6
"174",2019-07-29,31,2019,"18-49",2
"175",2019-07-29,31,2019,"50-64",1
"176",2019-08-05,32,2019,"<1",10
"177",2019-08-05,32,2019,"1-4",9
"178",2019-08-05,32,2019,"5-17",8
"179",2019-08-05,32,2019,"18-49",6
"180",2019-08-05,32,2019,"65+",2
"181",2019-08-12,33,2019,"<1",5
"182",2019-08-12,33,2019,"1-4",6
"183",2019-08-12,33,2019,"5-17",9
"184",2019-08-12,33,2019,"65+",4
"185",2019-08-19,34,2019,"<1",5
"186",2019-08-19,34,2019,"1-4",5
"187",2019-08-19,34,2019,"5-17",9
"188",2019-08-19,34,2019,"65+",1
"189",2019-08-26,35,2019,"<1",4
"190",2019-08-26,35,2019,"1-4",4
"191",2019-08-26,35,2019,"5-17",4
"192",2019-08-26,35,2019,"18-49",2
"193",2019-08-26,35,2019,"65+",2
"194",2019-09-02,36,2019,"<1",3
